frame,record_pos,videoSize,packetSize,first32hex,startValid,nearestCandidate,delta
56,1191758,22339,24560,0000000000000000000000000000000000000000000000000000000000000000,0,1193800,2042
57,1216318,19773,21994,0000000000000000000000000000000000000000000000000000000000000000,0,1218360,2042
58,1238312,21604,23825,0000000000000000000000000000000000000000000000000000000000000000,0,1240354,2042
59,1262137,17403,19624,0000000000000000000000000000000000000000000000000000000000000000,0,1264179,2042
60,1281761,17403,19624,0000000000000000000000000000000000000000000000000000000000000000,0,1283803,2042
61,1301385,17403,19624,0000000000000000000000000000000000000000000000000000000000000000,0,1303427,2042
62,1321009,17403,19624,0000000000000000000000000000000000000000000000000000000000000000,0,1323051,2042
63,1340633,17403,19624,0000000000000000000000000000000000000000000000000000000000000000,0,1342675,2042
64,1360257,17403,19624,0000000000000000000000000000000000000000000000000000000000000000,0,1362299,2042
65,1379881,17403,19624,0000000000000000000000000000000000000000000000000000000000000000,0,1381923,2042
66,1399505,17403,19624,0000000000000000000000000000000000000000000000000000000000000000,0,1401547,2042
